Year,DMCODE,New_DIST,NEW_MANDAL,June,July,Aug,Sep,total,Rainy Days,No Rain,Light Rainfall,moderate,Heavy,Very Heavy
2015,316,Mancherial,Bhimaram,333.2,226.8,154.2,131.4,845.6,36,72,35,12,2,1
2015,317,Mancherial,Chennur,336.6,181.8,200.6,102.6,821.6,42,78,26,17,1,0
2015,302,Mancherial,Dandepalle,158,190.6,197.4,184.2,730.2,38,79,30,12,0,1
2015,304,Mancherial,Hajipur,216.4,213.2,121.8,245,796.4,41,66,39,15,2,0
2015,315,Mancherial,Jaipur,333.2,226.8,154.2,131.4,845.6,36,72,35,12,2,1
2015,301,Mancherial,Jannaram,199.2,183.6,243.8,229.2,855.8,39,72,36,12,1,1
2015,308,Mancherial,Kannepalli,272.4,128.4,255.2,157.2,813.2,43,79,26,15,2,0
2015,305,Mancherial,Kasipet,301.4,269.8,223.8,193.2,988.2,43,68,41,9,3,1
2015,318,Mancherial,Kotapalle,353.4,237.8,229.8,162.8,983.8,34,84,22,12,3,1
2015,303,Mancherial,Luxettipet,238.4,252.6,200.2,222,913.2,48,74,26,20,1,1
2015,313,Mancherial,Mancherial,216.4,213.2,121.8,245,796.4,41,66,39,15,2,0
2015,312,Mancherial,Mandamarri,174.4,255.4,187.8,169.4,787,40,69,35,15,3,0
2015,314,Mancherial,Naspur,216.4,213.2,121.8,245,796.4,41,66,39,15,2,0
2015,310,Mancherial,Nennal,370.8,128.2,228.4,143.4,870.8,34,83,23,14,1,1
2015,306,Mancherial,Tandur,236.6,148.2,141,201.2,727,42,71,39,10,2,0
2015,309,Mancherial,Vemanpalle,511,121.4,348.2,155.8,1136.4,42,68,32,18,3,1
2015,1703,Medak,Alladurg,63.8,78.6,90,174.2,406.6,27,90,22,10,0,0
2015,1709,Medak,Chegunta,136.2,89,148.6,145,518.8,31,84,30,8,0,0
2015,1714,Medak,Chilipched,71.8,79.2,159.4,119.4,429.8,33,88,23,11,0,0
2015,1706,Medak,Havelighanpur,158.4,56.2,169.4,116,500,35,77,36,9,0,0
2015,1715,Medak,Kowdipalle,71.8,79.2,159.4,119.4,429.8,33,88,23,11,0,0
2015,1713,Medak,Kulcharam,111,60.2,175.4,68.4,415,32,87,26,9,0,0
2015,1720,Medak,Manoharabad,101.8,46.6,81.4,57.4,287.2,25,90,28,4,0,0
2015,1712,Medak,Medak,158.4,56.2,169.4,116,500,35,77,36,9,0,0
2015,1716,Medak,Narsapur,106.6,90.6,221,169.6,587.8,35,84,28,8,2,0
2015,1710,Medak,Narsingi,125.4,93.4,194,148.2,561,34,84,29,9,0,0
2015,1708,Medak,Nizampet,180.8,55,137.8,197.4,571,35,83,28,10,1,0
2015,1705,Medak,Papannapet,85.6,67,171.4,91.4,415.4,33,89,25,8,0,0
